,10645
STATE_CODE_001,12
STRUCTURE_NUMBER_008,870313
RECORD_TYPE_005A,1
ROUTE_PREFIX_005B,1
SERVICE_LEVEL_005C,1
ROUTE_NUMBER_005D,00195
DIRECTION_005E,0
HIGHWAY_DISTRICT_002,6
COUNTY_CODE_003,86
PLACE_CODE_004,45000
FEATURES_DESC_006A,'SR-5 & FEC R/R'
CRITICAL_FACILITY_006B,
FACILITY_CARRIED_007,'I-195 (SR-112)'
LOCATION_009,'BETWEEN I-95 AND US-1'
MIN_VERT_CLR_010,99.99
KILOPOINT_011,2.078
BASE_HWY_NETWORK_012,1.0
LRS_INV_ROUTE_013A,87004000.0
SUBROUTE_NO_013B,0.0
LAT_016,25484125
LONG_017,80113566
DETOUR_KILOS_019,3
TOLL_020,3
MAINTENANCE_021,1
OWNER_022,1
FUNCTIONAL_CLASS_026,11
YEAR_BUILT_027,1961
TRAFFIC_LANES_ON_028A,6
TRAFFIC_LANES_UND_028B,15
ADT_029,151500
YEAR_ADT_030,2024
DESIGN_LOAD_031,5
APPR_WIDTH_MT_032,29.9
MEDIAN_CODE_033,3
DEGREES_SKEW_034,99
STRUCTURE_FLARED_035,1
RAILINGS_036A,1
TRANSITIONS_036B,0
APPR_RAIL_036C,1
APPR_RAIL_END_036D,1
HISTORY_037,5
NAVIGATION_038,N
NAV_VERT_CLR_MT_039,0.0
NAV_HORR_CLR_MT_040,0.0
OPEN_CLOSED_POSTED_041,A
SERVICE_ON_042A,1
SERVICE_UND_042B,4
STRUCTURE_KIND_043A,3
STRUCTURE_TYPE_043B,2
APPR_KIND_044A,5
APPR_TYPE_044B,2
MAIN_UNIT_SPANS_045,1
APPR_SPANS_046,19
HORR_CLR_MT_047,15.0
MAX_SPAN_LEN_MT_048,33.9
STRUCTURE_LEN_MT_049,432.0
LEFT_CURB_MT_050A,0.0
RIGHT_CURB_MT_050B,0.0
ROADWAY_WIDTH_MT_051,29.9
DECK_WIDTH_MT_052,32.5
VERT_CLR_OVER_MT_053,99.99
VERT_CLR_UND_REF_054A,H
VERT_CLR_UND_054B,4.54
LAT_UND_REF_055A,H
LAT_UND_MT_055B,1.5
LEFT_LAT_UND_MT_056,0.0
DECK_COND_058,6
SUPERSTRUCTURE_COND_059,3
SUBSTRUCTURE_COND_060,7
CHANNEL_COND_061,N
CULVERT_COND_062,N
OPR_RATING_METH_063,1
OPERATING_RATING_064,56.6
INV_RATING_METH_065,1
INVENTORY_RATING_066,33.9
STRUCTURAL_EVAL_067,3
DECK_GEOMETRY_EVAL_068,9
UNDCLRENCE_EVAL_069,3
POSTING_EVAL_070,5
WATERWAY_EVAL_071,N
APPR_ROAD_EVAL_072,8
WORK_PROPOSED_075A,
WORK_DONE_BY_075B,
IMP_LEN_MT_076,0.0
DATE_OF_INSPECT_090,524
INSPECT_FREQ_MONTHS_091,24
FRACTURE_092A,N  
UNDWATER_LOOK_SEE_092B,N  
SPEC_INSPECT_092C,Y06
FRACTURE_LAST_DATE_093A,
UNDWATER_LAST_DATE_093B,
SPEC_LAST_DATE_093C,1124.0
BRIDGE_IMP_COST_094,0.0
ROADWAY_IMP_COST_095,0.0
TOTAL_IMP_COST_096,0.0
YEAR_OF_IMP_097,
OTHER_STATE_CODE_098A,
OTHER_STATE_PCNT_098B,0.0
OTHR_STATE_STRUC_NO_099,               
STRAHNET_HIGHWAY_100,1
PARALLEL_STRUCTURE_101,N
TRAFFIC_DIRECTION_102,2
TEMP_STRUCTURE_103,
HIGHWAY_SYSTEM_104,1
FEDERAL_LANDS_105,0
YEAR_RECONSTRUCTED_106,2000.0
DECK_STRUCTURE_TYPE_107,1
SURFACE_TYPE_108A,0
MEMBRANE_TYPE_108B,0
DECK_PROTECTION_108C,0
PERCENT_ADT_TRUCK_109,5.0
NATIONAL_NETWORK_110,1
PIER_PROTECTION_111,
BRIDGE_LEN_IND_112,Y
SCOUR_CRITICAL_113,N
FUTURE_ADT_114,262852
YEAR_OF_FUTURE_ADT_115,2044
MIN_NAV_CLR_MT_116,0.0
FED_AGENCY,N
SUBMITTED_BY,12
BRIDGE_CONDITION,P
LOWEST_RATING,3
DECK_AREA,14040.0
